season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2020/21,Abdul Samad,8e514b4c,1175485,Abdul Samad,Abdul Samad Farooq,India,"October 28, 2001, Kala Kot, Jammu & Kashmir",20y 8m 27d 0H 0M 0S,Right hand Bat,Legbreak,Batter
2020/21,Abhishek Sharma,f29185a1,1070183,Abhishek Sharma,Abhishek Sharma,India,"September 04, 2000, Amritsar, Punjab",21y 10m 21d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Allrounder
2020/21,AD Russell,bbd41817,276298,AD Russell,Andre Dwayne Russell,West Indies,"April 29, 1988, Jamaica",34y 2m 26d 0H 0M 0S,Right hand Bat,Right arm Fast,Allrounder
2020/21,AJ Finch,b8d490fd,5334,AJ Finch,Aaron James Finch,Australia,"November 17, 1986, Colac, Victoria",35y 8m 8d 0H 0M 0S,Right hand Bat,Slow Left arm Orthodox,Top order Batter
2020/21,AJ Tye,7c7d63a2,459508,AJ Tye,Andrew James Tye,Australia,"December 12, 1986, Perth, Western Australia",35y 7m 13d 0H 0M 0S,Right hand Bat,Right arm Medium fast,Bowler
2020/21,AM Rahane,29e95537,277916,AM Rahane,Ajinkya Madhukar Rahane,India,"June 06, 1988, Ashwi-KD, Maharashtra",34y 1m 19d 0H 0M 0S,Right hand Bat,Right arm Medium,Top order Batter
2020/21,AR Patel,2e171977,554691,AR Patel,Axar Rajeshbhai Patel,India,"January 20, 1994, Anand, Gujarat",28y 6m 5d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
2020/21,Arshdeep Singh,244048f6,1125976,Arshdeep Singh,Arshdeep Singh,India,"February 05, 1999, Guna, Madhya Pradesh",23y 5m 20d 0H 0M 0S,Left hand Bat,Left arm Medium fast,Bowler
2020/21,AS Rajpoot,db31895a,591650,AS Rajpoot,Ankit Singh Rajpoot,India,"December 04, 1993, Kanpur",28y 7m 21d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2020/21,AT Carey,69d03465,326434,AT Carey,Alex Tyson Carey,Australia,"August 27, 1991, Loxton, South Australia",30y 10m 28d 0H 0M 0S,Left hand Bat,NA,Wicketkeeper Batter
2020/21,AT Rayudu,70d205c9,33141,AT Rayudu,Ambati Thirupathi Rayudu,India,"September 23, 1985, Guntur, Andhra Pradesh",36y 10m 2d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Middle order Batter
